Game,Developer,Publisher,Type,Score,Raw Text,Processed Tokens,Processed Text,Numeric_Score,Sentiment Score,Sentiment Category,Sentiment_story_narrative,Sentiment_characters_world,Sentiment_visuals_art,Sentiment_audio_music,Sentiment_gameplay_mechanics,Sentiment_controls_camera,Sentiment_difficulty_balance,Sentiment_performance_bugs,Sentiment_ui_qol,Sentiment_content_replay,Sentiment_multiplayer_online,Sentiment_monetization_value
Legends of Pegasus,Novacore Studios,Kalypso,User,,"I'm unsure what happened with LoP. While in development, the game seemed to have decent support. Then, suddenly, Summer of 2012,  It was released in a less-than-playable state with non-existent support. Complaints from people who had paid for the game in good faith were everywhere. Players were discussing how to approach getting their money refunded. In October of 2012 the developers filed for Bankruptcy. I haven't seen a really decent explanation of why LoP was released before it was ready although many claim that's how Kalypso does business. Others say publishers are pushing developers into premature release of their games. Some sites were still taking orders for LoP at the time that Novacore announced its insolvency which is, IMHO, inexcusable. The only reason why some people were spared is bc players posted warnings not to buy the game.   More than a few people reported that they were denied refunds due to game time logged even though they were not able to actually play the game. This calls into question the ethics of charging players for games not yet published. Aren't beta players really assisting developers in identifying problems needing to be solved? Shouldn't there be some kind of reward offered to the people who play pre-release games? How fair is it to charge people who participate in beta testing the full price for the game when they are the ones assuming the risk that the game might flop?","['unsure', 'happened', 'lop', 'development', 'game', 'seemed', 'decent', 'support', 'suddenly', 'summer', 'released', 'state', 'support', 'complaint', 'people', 'paid', 'game', 'good', 'faith', 'everywhere', 'player', 'discussing', 'approach', 'getting', 'money', 'refunded', 'october', 'developer', 'filed', 'bankruptcy', 'seen', 'really', 'decent', 'explanation', 'lop', 'released', 'ready', 'although', 'many', 'claim', 'kalypso', 'business', 'others', 'say', 'publisher', 'pushing', 'developer', 'premature', 'release', 'game', 'site', 'still', 'taking', 'order', 'lop', 'time', 'novacore', 'announced', 'insolvency', 'imho', 'inexcusable', 'reason', 'people', 'spared', 'bc', 'player', 'posted', 'warning', 'buy', 'game', 'people', 'reported', 'denied', 'refund', 'due', 'game', 'time', 'logged', 'even', 'though', 'able', 'actually', 'play', 'game', 'call', 'question', 'ethic', 'charging', 'player', 'game', 'yet', 'published', 'beta', 'player', 'really', 'assisting', 'developer', 'identifying', 'problem', 'needing', 'solved', 'kind', 'reward', 'offered', 'people', 'play', 'game', 'fair', 'charge', 'people', 'participate', 'beta', 'testing', 'full', 'price', 'game', 'one', 'assuming', 'risk', 'game', 'might', 'flop']",unsure happened lop development game seemed decent support suddenly summer released state support complaint people paid game good faith everywhere player discussing approach getting money refunded october developer filed bankruptcy seen really decent explanation lop released ready although many claim kalypso business others say publisher pushing developer premature release game site still taking order lop time novacore announced insolvency imho inexcusable reason people spared bc player posted warning buy game people reported denied refund due game time logged even though able actually play game call question ethic charging player game yet published beta player really assisting developer identifying problem needing solved kind reward offered people play game fair charge people participate beta testing full price game one assuming risk game might flop,,0.7138,Positive,,0.4019,-0.296,-0.296,0.3612,0.3612,0.02619166666666667,,,0.0,,-0.296
Legends of Pegasus,Novacore Studios,Kalypso,User,,"DO NOT BUY THIS!!! This game is unfinished, and unplayable! A travesty to the genre!","['buy', 'game', 'unfinished', 'unplayable', 'travesty', 'genre']",buy game unfinished unplayable travesty genre,,-0.7067,Negative,,,,,,,,,,,,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",Critic,30.0,"This leads me onto the AI, of which I'm not sure there actually is any.","['lead', 'onto', 'ai', 'sure', 'actually']",lead onto ai sure actually,30.0,-0.2411,Negative,,,,,,,,,,,,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",Critic,61.0,"For a fiver, it's not too bad - a little different, at least. But that's all. [Sept 2008, p.116]","['fiver', 'bad', 'little', 'different', 'least', 'sept']",fiver bad little different least sept,61.0,0.2323,Positive,,,,,,,,,,,,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",Critic,40.0,"While Sniper: Art of Victory is superior to its brother in arms, and the sniping mechanic itself is reasonably well implemented, there are still too many flaws here to recommend it.","['superior', 'brother', 'arm', 'sniping', 'mechanic', 'reasonably', 'well', 'implemented', 'still', 'many', 'flaw', 'recommend']",superior brother arm sniping mechanic reasonably well implemented still many flaw recommend,40.0,0.6249,Positive,,,0.6249,,0.6249,,,,,,0.6249,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",User,6.0,"    Sniper Elite,       ,    ,  '  ',     ,             6 ,        ' '   ,       ,     2005,   2008  ,   ,         ,  2-3  (    )    )     .
 . ,   ,    ,      ,     ,      4:3,   )
    ,     ,          ,       ,         . (         )
    ,   ,    ,      .
     ?   .",['elite'],elite,6.0,0.0,Neutral,,,,,,,,,,,,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",User,8.0," ,    ,   ,  !",[],,8.0,0.0,Neutral,,,,,,,,,,,,
Sniper: Art of Victory,City Interactive,"City Interactive, CI Games",User,1.0,"Weird movement, weird sniping, a lot of weird things. Only positive is that for CI Games it was a step into direction of Sniper: Ghost Warrior.","['weird', 'movement', 'weird', 'sniping', 'lot', 'weird', 'thing', 'positive', 'ci', 'game', 'step', 'direction', 'ghost', 'warrior']",weird movement weird sniping lot weird thing positive ci game step direction ghost warrior,1.0,-0.2023,Negative,,,,0.3182,-0.4767,-0.4767,,,,,-0.4767,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,42.0,"Events unfold inexplicably, unrealistically, and almost arbitrarily. [June 2002, p.69]","['event', 'unfold', 'inexplicably', 'unrealistically', 'almost', 'arbitrarily', 'june']",event unfold inexplicably unrealistically almost arbitrarily june,42.0,0.0,Neutral,,,,0.0,,,,,,,,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,20.0,"SuperPower's most entertaining feature is this utter detachment from reality - despite its being touted as hyperrealistic. [July 2002, p.82]","['entertaining', 'feature', 'utter', 'detachment', 'reality', 'despite', 'touted', 'hyperrealistic', 'july']",entertaining feature utter detachment reality despite touted hyperrealistic july,20.0,0.5173,Positive,,,,0.5173,,,,,,,,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,40.0,"With the bugs fixed and the gameplay tweaked and polished, Superpower could be pretty decent. At the moment, it's disappointing.","['bug', 'fixed', 'gameplay', 'tweaked', 'polished', 'could', 'pretty', 'decent', 'moment', 'disappointing']",bug fixed gameplay tweaked polished could pretty decent moment disappointing,40.0,-0.296,Negative,,,,,0.25,,,0.25,,,,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,70.0,The organization of the immense database allows both novices and experts to equally enjoy the challenge.,"['organization', 'immense', 'database', 'allows', 'novice', 'expert', 'equally', 'enjoy', 'challenge']",organization immense database allows novice expert equally enjoy challenge,70.0,0.5423,Positive,,,,,,,0.5423,,,,,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,42.0,It's an idea that has been tried before and done better.,"['idea', 'tried', 'done', 'better']",idea tried done better,42.0,0.4404,Positive,,,,,,,,,,,,
SuperPower,GolemLabs,"DreamCatcher Interactive, GMX Media",Critic,42.0,"Events unfold inexplicably, unrealistically, and almost arbitrarily. [June 2002, p.69]","['event', 'unfold', 'inexplicably', 'unrealistically', 'almost', 'arbitrarily', 'june']",event unfold inexplicably unrealistically almost arbitrarily june,42.0,0.0,Neutral,,,,0.0,,,,,,,,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",Critic,90.0,"It's a brilliant collage of smooth, polished gameplay, solid netcode, unadulterated diversity, and a frenetic pacing few games can rival.","['brilliant', 'collage', 'smooth', 'polished', 'gameplay', 'solid', 'netcode', 'unadulterated', 'diversity', 'frenetic', 'pacing', 'game', 'rival']",brilliant collage smooth polished gameplay solid netcode unadulterated diversity frenetic pacing game rival,90.0,0.6597,Positive,0.6597,,,,0.6597,0.6597,,0.6597,,,0.6597,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",Critic,95.0,"It may just be the best arcade style online shooter ever made, and it’ll likely only be unseated by next year’s incarnation.","['may', 'best', 'arcade', 'style', 'online', 'shooter', 'ever', 'made', 'likely', 'unseated', 'next', 'year', 'incarnation']",may best arcade style online shooter ever made likely unseated next year incarnation,95.0,0.6369,Positive,,,0.6369,,,,,,,,0.6369,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",Critic,94.0,I wouldn’t hesitate to say that it’s the best pure online FPS ever made.,"['hesitate', 'say', 'best', 'pure', 'online', 'fps', 'ever', 'made']",hesitate say best pure online fps ever made,94.0,0.4767,Positive,,,,,,,,0.4767,,,0.4767,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",User,10.0,Çocukluum.................................................................,['çocukluum'],çocukluum,10.0,0.0,Neutral,,,,,,,,,,,,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",User,8.0,"    ,   ",[],,8.0,0.0,Neutral,,,,,,,,,,,,
Unreal Tournament 2004,Epic Games,"Atari SA, Sold Out Software",User,10.0,"Give me back these FPSs, where really if you were good, you were REALLY good in this genre. Not like now they do a royal victory on Fortnite or win a game on Warzone and feel like pro gamers... But EpicGames wanted to do the EpicFails by drowning UnrealTournament 2014 by making room for Fortnite...

God forgive us
R.I.P UT","['give', 'back', 'fps', 'really', 'good', 'really', 'good', 'genre', 'like', 'royal', 'victory', 'fortnite', 'win', 'game', 'warzone', 'feel', 'like', 'pro', 'gamers', 'epicgames', 'wanted', 'epicfails', 'drowning', 'unrealtournament', 'making', 'room', 'fortnite', 'god', 'forgive', 'u', 'ut']",give back fps really good really good genre like royal victory fortnite win game warzone feel like pro gamers epicgames wanted epicfails drowning unrealtournament making room fortnite god forgive u ut,10.0,0.8171,Positive,,,,,,,,0.7003,,,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,Critic,90.0,"Tekken 8 has not only become a benchmark on next-gen, but on how fighting games must be design for casual and hardcore players.","['become', 'benchmark', 'fighting', 'game', 'must', 'design', 'casual', 'hardcore', 'player']",become benchmark fighting game must design casual hardcore player,90.0,-0.2617,Negative,,,,,-0.2617,,-0.2617,,,,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,Critic,90.0,"It remains to be seen whether Bandai Namco's game can achieve what Street Fighter 6 hasn't quite managed, and bring in a new generation of players, but this is the first time in decades that these longtime rivals have felt so well matched. [Issue395, p.114]","['remains', 'seen', 'whether', 'bandai', 'namco', 'game', 'achieve', 'street', 'fighter', 'quite', 'managed', 'bring', 'new', 'generation', 'player', 'first', 'time', 'decade', 'longtime', 'rival', 'felt', 'well', 'matched']",remains seen whether bandai namco game achieve street fighter quite managed bring new generation player first time decade longtime rival felt well matched,90.0,0.6009,Positive,,,,,0.6009,,,,0.6009,0.6009,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,Critic,90.0,"In case it hasn’t been made abundantly clear by now, Tekken 8 is a must-play for fans of the series, fans of the genre, or even for new players wondering what all the hype is about. It’s a standout entry in a phenomenal series, it respects the player’s time, and gives them a ton to do, and it’s a joy to play. Go get it.","['case', 'made', 'abundantly', 'clear', 'fan', 'series', 'fan', 'genre', 'even', 'new', 'player', 'wondering', 'hype', 'standout', 'entry', 'phenomenal', 'series', 'respect', 'player', 'time', 'give', 'ton', 'joy', 'play', 'go', 'get']",case made abundantly clear fan series fan genre even new player wondering hype standout entry phenomenal series respect player time give ton joy play go get,90.0,0.8271,Positive,,,,,,,,,,,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,User,9.0,"This fighter is a solid 8. The pros :sounds tracks from current and all Previous Tekkens. The graphics are sublime. The feels you get when you land your combos perfectly are cherry on top. The numerous 0 rating reviews you see are trash and are disrespectful to the people that spent their time on this earth creating this game. This game deserves atleast an 8 and any game that is rated 8 and up is a must play! Loved tekken tag when I was still a teenager i would play with my dad and it is a fond memory for me. 

Just buy it  and play it. Invest time to learning the moves and technicals and enjoy!","['fighter', 'solid', 'pro', 'sound', 'track', 'current', 'previous', 'tekkens', 'graphic', 'sublime', 'feel', 'get', 'land', 'combo', 'perfectly', 'cherry', 'top', 'numerous', 'rating', 'review', 'see', 'trash', 'disrespectful', 'people', 'spent', 'time', 'earth', 'creating', 'game', 'game', 'deserves', 'atleast', 'game', 'rated', 'must', 'play', 'loved', 'tag', 'still', 'teenager', 'would', 'play', 'dad', 'fond', 'memory', 'buy', 'play', 'invest', 'time', 'learning', 'move', 'technical', 'enjoy']",fighter solid pro sound track current previous tekkens graphic sublime feel get land combo perfectly cherry top numerous rating review see trash disrespectful people spent time earth creating game game deserves atleast game rated must play loved tag still teenager would play dad fond memory buy play invest time learning move technical enjoy,9.0,0.9637,Positive,,,0.148,0.0,0.296,,0.5072,,,,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,User,10.0,tekken 8 is the perfect 3D fighter. we need street fighter and snk games in 3D. best regards.,"['perfect', 'fighter', 'need', 'street', 'fighter', 'snk', 'game', 'best', 'regard']",perfect fighter need street fighter snk game best regard,10.0,0.8779,Positive,,,,,0.40085,,,,,,,
Tekken 8,Bandai Namco Games,Bandai Namco Games,User,9.0," ,  ,  .    .",[],,9.0,0.0,Neutral,,,,,,,,,,,,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",Critic,100.0,"Simply one of those titles that makes you say 'Wow.' You'll have to pick your jaw up off the floor when you experience it for the first time. It is a rare gem; an awesome feat of programming, graphical design, and sound production, all wrapped around superb gameplay. It deserves the highest praise.","['simply', 'one', 'title', 'make', 'say', 'pick', 'jaw', 'floor', 'experience', 'first', 'time', 'rare', 'gem', 'awesome', 'feat', 'programming', 'graphical', 'design', 'sound', 'production', 'wrapped', 'around', 'superb', 'gameplay', 'deserves', 'highest', 'praise']",simply one title make say pick jaw floor experience first time rare gem awesome feat programming graphical design sound production wrapped around superb gameplay deserves highest praise,100.0,0.9153,Positive,,,0.8481,0.8481,0.8481,,,,,,,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",Critic,90.0,"With its stunning 3D engine, uniquely challenging gameplay in both single- and multiplayer modes, great audio, and terrific story, Homeworld is both an excellent game and one that may well reshape the entire real-time strategy genre.","['stunning', 'engine', 'uniquely', 'challenging', 'gameplay', 'multiplayer', 'mode', 'great', 'audio', 'terrific', 'story', 'excellent', 'game', 'one', 'may', 'well', 'reshape', 'entire', 'strategy', 'genre']",stunning engine uniquely challenging gameplay multiplayer mode great audio terrific story excellent game one may well reshape entire strategy genre,90.0,0.9451,Positive,0.9451,0.9451,,0.9451,0.9451,,0.9451,,,0.9451,0.9451,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",Critic,91.0,"Not only has control of this environment been handled well, but the smoothness of overall presentation and gameplay seem to reflect an excellence from RTS titles that we should all be looking forward to in the future.","['control', 'environment', 'handled', 'well', 'smoothness', 'overall', 'presentation', 'gameplay', 'seem', 'reflect', 'excellence', 'rts', 'title', 'looking', 'forward', 'future']",control environment handled well smoothness overall presentation gameplay seem reflect excellence rts title looking forward future,91.0,0.802,Positive,,0.802,0.802,,0.802,0.802,,,,,,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",User,10.0,Jedna z najlepszych strategi czasu rzeczywistego jak kiedykolwiek zrobiono. Arcydzieo gatunku.,"['jedna', 'z', 'najlepszych', 'strategi', 'czasu', 'rzeczywistego', 'jak', 'kiedykolwiek', 'zrobiono', 'arcydzieo', 'gatunku']",jedna z najlepszych strategi czasu rzeczywistego jak kiedykolwiek zrobiono arcydzieo gatunku,10.0,0.0,Neutral,,,,,,,,,,,,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",User,9.0,"At the time of writing its been roughly 25 years since the original homeworld came out. Its graphics are dated, its controls are clunky, its audio is crunchy. Even with those up front it is still the grandaddy of all space-based RTS games with an appreciable depth to it. A depth that was lost when HW1 was 'Remastered' in homeworld 2's engine.

The classic version of HW1 gearbox packages with the remastered collection is non-functional on modern machines. A different version will need to be acquired elsewhere.","['time', 'writing', 'roughly', 'year', 'since', 'original', 'came', 'graphic', 'dated', 'control', 'clunky', 'audio', 'crunchy', 'even', 'front', 'still', 'grandaddy', 'rts', 'game', 'appreciable', 'depth', 'depth', 'lost', 'engine', 'classic', 'version', 'gearbox', 'package', 'remastered', 'collection', 'modern', 'machine', 'different', 'version', 'need', 'acquired', 'elsewhere']",time writing roughly year since original came graphic dated control clunky audio crunchy even front still grandaddy rts game appreciable depth depth lost engine classic version gearbox package remastered collection modern machine different version need acquired elsewhere,9.0,0.0,Neutral,0.3182,0.0,0.0,-0.1591,,0.0,,,0.0,0.0,,
Homeworld,Relic Entertainment,"Sierra Entertainment, Frogster Interactive, Sold Out Software",User,10.0,The most special RTS game in the history of game. Real Revolution RTS better than Starcraft,"['special', 'rts', 'game', 'history', 'game', 'real', 'revolution', 'rts', 'better', 'starcraft']",special rts game history game real revolution rts better starcraft,10.0,0.7089,Positive,0.4576,,,0.449,,,,,,,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Critic,40.0,It’s simply unacceptable for a retail game to have a major component of gameplay be as broken as Seven Kingdoms’ pathfinding and unit AI.,"['simply', 'unacceptable', 'retail', 'game', 'major', 'component', 'gameplay', 'broken', 'pathfinding', 'unit', 'ai']",simply unacceptable retail game major component gameplay broken pathfinding unit ai,40.0,-0.7906,Negative,,,,,-0.7906,,,,,,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Critic,30.0,"Believe me, Seven Kingdoms Conquest is a wreck you want to avoid.","['believe', 'wreck', 'want', 'avoid']",believe wreck want avoid,30.0,-0.5859,Negative,,,,-0.5859,,,,,,-0.5859,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Critic,68.0,"When you get down to it, Conquest feels more like a cousin to the series than a true follow-up. It certainly leans towards the traditional side of the genre with more of an emphasis on battle than on construction and micromanagement.","['get', 'feel', 'like', 'cousin', 'series', 'true', 'certainly', 'lean', 'towards', 'traditional', 'side', 'genre', 'emphasis', 'battle', 'construction', 'micromanagement']",get feel like cousin series true certainly lean towards traditional side genre emphasis battle construction micromanagement,68.0,0.7902,Positive,,,,,,,,,,0.6801,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Critic,68.0,"When you get down to it, Conquest feels more like a cousin to the series than a true follow-up. It certainly leans towards the traditional side of the genre with more of an emphasis on battle than on construction and micromanagement.","['get', 'feel', 'like', 'cousin', 'series', 'true', 'certainly', 'lean', 'towards', 'traditional', 'side', 'genre', 'emphasis', 'battle', 'construction', 'micromanagement']",get feel like cousin series true certainly lean towards traditional side genre emphasis battle construction micromanagement,68.0,0.7902,Positive,,,,,,,,,,0.6801,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",Critic,55.0,"The gameplay is extremely basic and somewhat boring. Build up an army, go fight, go to the next level. And so on.","['gameplay', 'extremely', 'basic', 'somewhat', 'boring', 'build', 'army', 'go', 'fight', 'go', 'next', 'level']",gameplay extremely basic somewhat boring build army go fight go next level,55.0,-0.5729,Negative,,,,,-0.28645,,,,0.0,0.0,,
Seven Kingdoms: Conquest,"Enlight Software, Infinite Interactive","Enlight Software, DreamCatcher Interactive, JoWooD Entertainment AG",User,,"Play Seven kingdoms AA (1998) then you will understand why this game deserves 0

İm still playing skaa at 2015 but this game is totally garbage it's nothing near old seven kingdom games so dont buy dont make this mistake","['play', 'aa', 'understand', 'game', 'deserves', 'still', 'playing', 'skaa', 'game', 'totally', 'garbage', 'nothing', 'near', 'old', 'kingdom', 'game', 'dont', 'buy', 'dont', 'make', 'mistake']",play aa understand game deserves still playing skaa game totally garbage nothing near old kingdom game dont buy dont make mistake,,-0.561,Negative,,,,,,,,,,,,
The Witcher 3: Wild Hunt,CD Projekt Red Studio,"Warner Bros. Interactive Entertainment, CD Projekt, Spike Chunsoft, Bandai Namco Games, CD Projekt Red Studio",Critic,-1.0,Wild Hunt is viciously hostile. Hostility infects every element like a poison and unites them with a common sickness.,"['viciously', 'hostile', 'hostility', 'infects', 'every', 'element', 'like', 'poison', 'unites', 'common', 'sickness']",viciously hostile hostility infects every element like poison unites common sickness,-1.0,-0.8555,Negative,,,,-0.63495,,,,,,,,
The Witcher 3: Wild Hunt,CD Projekt Red Studio,"Warner Bros. Interactive Entertainment, CD Projekt, Spike Chunsoft, Bandai Namco Games, CD Projekt Red Studio",Critic,100.0,"The conclusion of Geralt’s game saga couldn’t be better. The large open world, great storytelling and dozens of hours of pure fun – this game is an absolute must for every RPG fan. [Issue253]","['conclusion', 'geralt', 'game', 'saga', 'better', 'large', 'open', 'world', 'great', 'storytelling', 'dozen', 'hour', 'pure', 'fun', 'game', 'absolute', 'must', 'every', 'rpg', 'fan']",conclusion geralt game saga better large open world great storytelling dozen hour pure fun game absolute must every rpg fan,100.0,0.9118,Positive,0.8658,0.8658,,,,,0.8658,,,0.8658,,
The Witcher 3: Wild Hunt,CD Projekt Red Studio,"Warner Bros. Interactive Entertainment, CD Projekt, Spike Chunsoft, Bandai Namco Games, CD Projekt Red Studio",Critic,95.0,"This truly outstanding game raises the bar to new heights that will be extremely hard to reach for BioWare, Bethesda and any other developer. [07/2015, p.38]","['truly', 'outstanding', 'game', 'raise', 'bar', 'new', 'height', 'extremely', 'hard', 'reach', 'bioware', 'bethesda', 'developer']",truly outstanding game raise bar new height extremely hard reach bioware bethesda developer,95.0,0.7629,Positive,,,,,,,0.7629,,,,,
