Title,Platform,Release Date,Genre,Developer,Publisher,Metascore,Critic Review Count,User Score,User Review Count,Critic Reviews Data,User Reviews Data
Tunnel Rats: 1968,['PC'],2009/5/15,FPS,"Replay Studios, Team Toro",Boll AG,30,7,1.8,14,"[{'score': 30, 'text': ""Uwe Boll did it again, but now in videogame form. One of the worst games ever seen on PC, this FPS should have been canned before release: it lacks a story, its gameplay is horrible, and it has no real purpose. Its best feature: that it's a short game, so pain doesn't last long.""}, {'score': 38, 'text': ""The action is predictable, the visuals are merely passable, and the main hero is such a jumble of hate and regret that it's impossible to ever really care if he makes it out of the jungle alive. Spare yourself instead and pass on this one.""}, {'score': 25, 'text': 'Five buggy hours of tunnels, booby traps, and laughably bad dialogue.'}]","[{'score': 1, 'text': 'Put your hands away. In this waiting for you tunnels maze, later quite annoying traps, bad voice acting, stupid enemies, bugs. This product is not even worth a lousy 1 euro. Oouuu... to hell!'}, {'score': 8, 'text': 'Tunnel Rats: 1968 is not that bad ****, it was not bad but not fantastic. the game-play and graphics could use a little bit more work but other than that this game was not a bad buy.'}, {'score': None, 'text': ""Awful bits of data. The gameplay is boring, nothing special about this game, you don't feel the fear for yourself or the surrounding area, the main hero is full of stupid hateful speech, the graphics are horrible (just a bunch of poopy textures. I mean, they look all brownish and puke-ish), the AI **** and it's made by Uwe Boll. The only good (if you can call it) thing is that the game is quite short. It might look like eternity, though. Forget about this game, don't spend your time, your money and go play some more interesting game. Uwe Boll **** even if he's going to punch me to death for writing this review.""}]"
UFO 50,"['PC', 'Nintendo Switch']",2024/9/18,Party,Mossmouth,Mossmouth,91,19,,,"[{'score': 100, 'text': ""UFO 50 may be inspired by an era that's several generations ago, but an incredible amount of imagination and work went into making this collection of games more than just about evoking nostalgia. The collection also manages to feel fresh and innovative, delivering thrills and the feeling of discovery at nearly every turn. It's unlike anything I've played, and represents a passion and love for the medium in such a special way.""}, {'score': 80, 'text': 'Judging UFO 50 is a challenge, even just for the sheer amount of content it contains, with an incredible array of ideas, mechanics, and concepts that you?€?ll find within this alternate universe. Through its video games, UFO 50 narrates a historical moment, an era that never actually existed but lives within our memories, sensations, and the emotions we felt as children, back when this world was still unexplored. At the same time, it requires a certain devotion, a passion for a very specific kind of retro gaming and a lot of patience to explore.'}, {'score': 80, 'text': 'UFO 50 is like stumbling across a time capsule and discovering a wealth of lost knowledge inside. And yet, it?€?s entirely a singular work of fiction. That by itself is deeply fascinating and makes this thing worth playing. Even if you pass over most of the games and only find a few that stick with you from a fun perspective, the depth on a conceptual level is absurd and gratifying to simply think about. We?€?re living at a time in which older games are vanishing from both physical reality and our sort of collective cultural well at an increasing rate, when remakes are seen as replacements for original work and curiosity to seek out history is dwindling unless there?€?s a purchasable remaster. UFO 50 is fun to play and take at face value, but it also highlights how age really isn?€?t a detriment to having a great time and engaging with games.'}]","[{'score': 10, 'text': 'It?€?s 50 games how are you not playing it or are on the fence about it stop reading reviews play it'}, {'score': 4, 'text': ""I'm genuinely shocked at how overhyped this title is... Almost every game out of the 50 is frustrating, irritating, and simply bad for me. It's a waste of time and money. \n\nI highly recommend quickly playing through some games within the first 2 hours so you can get a refund if you don?€?t enjoy it like I didn?€?t.I was really shocked by how horrible my experience was... I had heard so many positive reviews on YouTube, and I?€?ve never been so let down by my expectations. \n\nThis title is so overhyped, and it?€?s just sad. The controls in every game are clunky, imprecise, and irritating. Enemy AI is way too high, making the games very hard and almost impossible to feel anything besides frustration and anger. There are some good ideas, but every one of them is ruined by shallow gameplay and pointless difficulty.\n\nIf you really want to experience some nostalgia, you?€?re better off playing NES, GBC, or GBA games""}, {'score': 8, 'text': 'I?€?d give it a 7.5 if possible. \n\nUFO 50 is so cool, but a little bit too artsy for its own good. I have such little desire to dive any deeper than surface level into either the games or the overarching story that I?€?m left without enough patience to withstand the slow and frustrating stuff in the package. As a 2000?€?s kid, the nostalgic angle of this is how games used to be does nothing for me. That said, the good stuff is so good, that I don?€?t really care if some of the games aren?€?t. I?€?d pay the price of admission JUST for Bushido Ball. Or Party House. Or Rail Hiest. Or Velgress. These are just plain fun, if not a little simple, games that are full of indie charm. If you?€?re under 30 years old, it?€?s a pretty big toss up if you?€?ll enjoy this, I think. But if you have nostalgia or major appreciation for the 8 and 16 bit eras, this is the game for you.'}]"
A Vampyre Story,['PC'],,Point-and-Click,Autumn Moon,"Crimson Cow, GamersGate, DreamCatcher Interactive, Strategy First, Ascaron Entertainment",74,34,7.7,13,"[{'score': 60, 'text': ""If in search for the next best thing in adventures, A Vampyre Story isn't it. While it has some issues, and an obvious lack of polish at places, it definitely has its moments, and some of these moments are awesome. It's not perfect, but genre fans will enjoy the three or so evenings they'll spend on it, with its humour, likable protagonist, and beautiful vistas being the best things on offer and the fact that this is basically a Part One of a Part Two that never came (and probably never will) ruining the experience.""}, {'score': 83, 'text': 'A Vampyre Story is a humorous adventure, which provides many difficult mysteries and a lot of fun. The voice of the character Mona is very annoying in the German version, so install the English one.'}, {'score': 80, 'text': 'A Vampyre Story is clearly a labour of love, although whether that?€?s a love lost on you will be down to how accepting you can be of what is for all intents and purposes a point-and-click adventure styled after those of the early to mid nineties.'}, {'score': 91, 'text': ""Honestly, if you played it and were rubbed the wrong way by the glitches, apply the patch and give it another shot. Mona may be only a campy vampire, but her heart, and the game's, are in the right place.""}, {'score': 88, 'text': 'The few technical discrepancies within AVS are more than outweighed by the pile of good things there are to say about this game. A Vampyre Story is reminiscent of the glory days of LucasArts and comes equipped with an awesome amount of humour. [Issue17]'}, {'score': 80, 'text': 'It may be a bit too traditional for those raised on the episodic hand-holders of recent times, but seasoned adventurers will love the stunning visuals, smart writing, and difficult puzzles. [Jan 2009, p.119]'}]",[]
Starcraft II: Wings of Liberty,['PC'],2010/7/27,Command RTS,Blizzard Entertainment,Blizzard Entertainment,93,82,8.3,3099,"[{'score': 95, 'text': ""'Quotation Forthcoming'""}, {'score': 90, 'text': ""If you are into real time strategy in any form, it's hard to ignore Starcraft II. ""}, {'score': 93, 'text': 'Perfectly balanced multiplayer with old school elements intact, and rich and dynamic single player campaigns. [Issue244, p.102]'}]","[{'score': 8, 'text': ""The best last RTS out there. It's sad that RTS genre came to it's **** lots of fun back in 2010.""}, {'score': 9, 'text': 'Its still a very good RTS! Fun and challenging gameplay especially in multiplayer. The campaign is great too. :)'}, {'score': 10, 'text': ""StarCraft II: Wings of Liberty is considered by many to be the best game of all time:\nWhy StarCraft II: Wings of Liberty Is the Greatest Game of All TimeStarCraft II: Wings of Liberty stands as a masterpiece in the world of video games, combining deep strategy, compelling storytelling, and unmatched competitive gameplay. Here?€?s why it deserves the title of the greatest game of all time:Perfect Balance of Strategy and SkillWings of Liberty features three distinct factions  Terran, Zerg, and Protoss  each with unique strengths and playstyles. The game?€?s balance is legendary, requiring players to think critically, adapt quickly, and execute precise micro and macro strategies. No two games are ever the same.Epic Single-Player CampaignThe campaign offers an emotionally engaging and cinematic experience, following Jim Raynor?€?s rebellion against the corrupt Terran Dominion. The missions are varied, challenging, and full of lore, keeping players invested from beginning to end.E-Sports LegacyStarCraft II helped shape modern e-sports. It was a global phenomenon in competitive gaming, especially in South Korea, where pro players became national celebrities. The game's high skill ceiling and fast-paced gameplay made it a favorite for both players and spectators.Longevity and Community SupportReleased in 2010, Wings of Liberty still has an active player base. Blizzard continued to support the game for years with updates, expansions, and balance patches. The community contributed with custom maps, mods, and tournaments, keeping the game fresh and relevant.Technical ExcellenceWith stunning visuals (for its time), immersive sound design, and smooth online matchmaking via ****, StarCraft II set a gold standard in terms of production value. It runs well even on modest hardware, making it accessible to a wide **** conclusion, StarCraft II: Wings of Liberty isn't just a game  it's a benchmark in real-time strategy and competitive gaming history. Its combination of depth, polish, and impact on gaming culture secures its place as the greatest game of all time.""}]"
Microsoft Flight Simulator,"['Xbox Series X', 'PC']",2020/8/18,Aircraft Sim,Asobo Studio,Xbox Game Studios,91,66,7.3,1586,"[{'score': 91, 'text': 'Microsoft Flight Simulator features some really impressive, even groundbreaking technologies that allow it to procedurally create entire Earth. [Issue249, p.74] \r\n'}, {'score': 90, 'text': 'It?€?s not just a game, it?€?s a phenomenon. It lets you explore literally the whole planet ?€? cities, mountains, lakes, rivers, even my house was there ?€? from the cockpits of 20-30 (depends on the version of the game) airplanes. Flying experiences are also great and vary from machine to machine. I?€?m sure I?€?ll be returning to MFS for years to come. [11/2020, p.38]'}, {'score': 60, 'text': ""When all is said and done, Microsoft Flight Simulator in its current state reminds me a lot of Sea of Thieves shortly after launch. The game has a lot of promise and a lot of potential, but it is marred by a number of issues that keep it from really shining. Once the issues have been worked out in six months or a year from now, I fully expect Microsoft Flight Simulator to be a must-have title. Right now, unless you are a hardcore flight sim fanatic, I would pass on buying the premium version and just stick to playing the basic version that's included with GamePass.""}]","[{'score': 5, 'text': '.      .             ,      -   .'}, {'score': 10, 'text': ""This simulator is a perfect, 1:1 scale of the entire world as we know it. All airports, and even airstrips that aren't federally registered are included to the fullest, even being able to depart and embark to and from them. The engine scale is also accurate to real life. Not only are the plane speeds accurate, but there are even real-time weather events.""}, {'score': 7, 'text': ""Looks good but my PC can't handle the game since it's very demanding. Overall pretty cool!""}]"
World of Warcraft,['PC'],2004/11/23,MMORPG,Blizzard Entertainment,"Blizzard Entertainment, Activision",93,57,7.5,3502,"[{'score': 90, 'text': ""Like 'Warcraft III' before it, World of Warcraft is less about cataclysmic evolution and more about refinement.""}, {'score': 90, 'text': 'If you want a highly polished and lavishly designed MMORPG set across a sprawling fantasy world made popular by millions of devoted fans, then I strongly advise that you familiarize yourself with World of Warcraft immediately.'}, {'score': 91, 'text': ""The game's hardware requirements are high. Really. Take the Recommended settings, add 256MB of RAM and 500Mhz of CPU, and that's what I'd say is the Minimum hardware requirement for this game...Will a few technical issues keep you away from what is the best MMO on the market this holiday season?""}]","[{'score': 10, 'text': ""Groundbreaking MMO when it released, and I think it is fair to say that no other game has had such a cultural impact outside of the video games genre as World of Warcraft. I was just a dumb kid at the time, so I never partook in the 'late-game' gameplay, but I still have fond memories of running around Azeroth and levelling my character as a kid to almost max level.""}, {'score': None, 'text': 'Hearthsteel. Potentially adding a new premium currency kills all enjoyment of this game. The moneymen need to be happy with it making money and not try to milk itas much as possible'}, {'score': None, 'text': ""Don't even start playing this garbage. Worst game for its price. Countless bugs, poor quality of sound FX still 20 years later: fight seems as if you punch air, no impact sounds. Stupid combat facial animations of draenei and humans, stinking woke propaganda and feminism. People who play this trash are mostly nostalgic, there is nothing great in this game, its peak was Wrath of the Lich King in 2008.""}]"
Tom Clancy's Splinter Cell,"['Xbox', 'PC', 'PlayStation 2', 'GameCube', 'Game Boy Advance', 'PlayStation 3']",2002/11/17,Action Adventure,Ubisoft Montreal,Ubisoft,93,46,8.3,275,"[{'score': 100, 'text': ""Although featuring the most realistic and detailed graphics, lighting and animation you've ever seen with sound effects to match, it's still the gameplay that shines the most, combining a sublime mixture of stealth and combat with the most versatile range of moves, gadgets and tactics ever to feature in a stealth game.""}, {'score': 90, 'text': ""Awesome in ways this space doesn't allow us to describe. [Feb 2003]""}, {'score': 90, 'text': 'But you146;ll also love Splinter Cell for being a challenge in an age when videogames have all the interaction of a fairground ride.'}]","[{'score': 10, 'text': 'The best stealth game I have ever played. It offers the player to be fully immersed in their mission with various gadgets and moves to effectively complete the challenging objectives. Splinter Cell and Prince Of Persia were Ubisoft at their absolute best. 5/5 stars.'}, {'score': 7, 'text': ""the Good: the Controllers are Confortable for a Stealth game, you can move and look at the same time, you use one button to aim and another to fire, some Levels have multiple paths, you Hang automaticly if you're close to an edge especially if you fall, you Don't get paused by conversations, there's no QTEs, it's Visibility mechanic Reduce the neccesity to memorise most enemy's paths, you can jump and jump to a wall to do a highter jump, the Rifle is very accurate when you use the Scope and allows you to take out enemies, lights and cameras From safe distance, the launcher shoots non lethal ammo which is very Useful for Levels which you're not allowed to Kill, enemies have to go to the alarm to trigger it.\nthe Bad: you can only save at Specific parts and some parts you're forced to memorise them for not being able to save at any time, you always have to select the optic cable to look below door and select the lockpick to unlock doors, the pistol and rifle without Scope act like not having rifling and it's problematic on the first Levels or combat sections, some lighs cannot be destroyed even if they Don't look protected, Wall mines are very annoying to deactivate because after deactivate them on Red light it explodes forcing you to memorise the animation time and the lights of the Mine.\nthis game makes MGS2 to look like a previous Gen game for the Gameplay and controls""}, {'score': 9, 'text': ""A spy stealth classic. This was the Xbox's answer to 'Metal Gear Solid 2'. With the Tom Clancy label, it plays like a real-life version of Solid Snake. At the time of release, 'Splinter Cell' was perhaps the most graphically advanced console game. Featuring realistic lighting and shadow effects, the game was a showcase of the Xbox's graphical abilities. Visually, It still holds up. The action-stealth gameplay is equally good. And while there may be too much trial-and-error, this is still a great game. I would rate it with a 9.3 out of 10""}]"
Curious Expedition,"['PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PC']",2016/9/2,Adventure,Maschinen-Mensch,Maschinen-Mensch,74,11,6.6,7,"[{'score': 80, 'text': 'A good example of the well-balanced encounter between causality and mechanics, procedurality and systemicity.'}, {'score': 60, 'text': 'The idea for this roguelike is great, but in my case The Curious Expedition?€?s charm wore off too quickly. I took the first place in my fifth or sixth attempt and though every time the game managed to surprise me, I needed just three hours to do it. [12/2016, p.57]'}, {'score': 60, 'text': 'A fun excursion into the times of 19th century?€?s heroic explorers unfortunately runs out of steam quite soon, and that magical charm of the unknown vanishes.  [Issue267]'}, {'score': 90, 'text': 'A love letter to the joy of exploration and randomness. [Issue256, p.64]'}, {'score': 80, 'text': 'A good example of the well-balanced encounter between causality and mechanics, procedurality and systemicity.'}]","[{'score': 7, 'text': 'A fun exploration game in the age of British Imperial exploration, with some humor and Lovecraftian chills thrown in. My only complaint is that you must reference online forums to find out how to play, what items do, etc. because there is little information about game concepts within the game itself.'}]"
Tsunami 2265,['PC'],2002/8/4,Third Person Shooter,Prograph,"Got Game Entertainment, Russobit-M",35,11,4,5,"[{'score': 42, 'text': ""Worst of all, there are no in-mission saves (only five 'lives'), and each of the game's 13 missions can take up to an hour to complete. [Nov 2002, p.129]""}, {'score': 30, 'text': ""Terrible. Probably the only good thing to come out of the whole experience is the game's opening song. Just imagine a driving 80s, generic pop anthem with cheesy power chords and lyrics about how war is love and love is war.""}, {'score': 30, 'text': 'It has a great idea in terms of graphical presentation and plotline, but it throws it all away through poor gameplay design.'}, {'score': 80, 'text': 'Tsunami 2265 is an interesting game with a lot to offer and while the action can grow somewhat repetitive the game is still an enjoyable treat that shouldn146;t be missed.'}, {'score': 45, 'text': ""Is Tsunami 2265 totally devoid of value? Not completely, but it's close.""}, {'score': 42, 'text': ""Worst of all, there are no in-mission saves (only five 'lives'), and each of the game's 13 missions can take up to an hour to complete. [Nov 2002, p.129]""}]",[]
Mall Tycoon,['PC'],2002/2/3,Tycoon,"Holistic Design, Inc.","Take-Two Interactive, ak tronic",41,10,4.3,4,"[{'score': 38, 'text': ""Mall Tycoon's anemic execution really turns any simulation aspects into micromanagement chaos.""}, {'score': 75, 'text': 'A nice little program. While not overly complex, it still is entertaining. '}, {'score': 30, 'text': ""It's ugly, bland, boring and nondescript. Kind of like the average mall.""}, {'score': 75, 'text': 'A nice little program. While not overly complex, it still is entertaining. '}, {'score': 46, 'text': ""The game's excellent music just can't compensate for its poor graphics or clunky interface.""}]","[{'score': 5, 'text': 'The game looks like it was made in 2002, which it was.  The sound is mall-like.  I hope you have a good graphics card and processor.  The recommended hardware is not enough if you wish to run the game with the most detail and at a faster than normal pace.  Is it worth its price tag?  Probably not, I would recommend getting its sequel; let us hope the bugs have been worked out.'}]"
The Quiet Man,"['PlayStation 4', 'PC']",2018/11/1,Linear Action Adventure,Human Head Studios,Square Enix,28,22,1.7,176,"[{'score': 15, 'text': 'They said: It?€?s the worst game of 2018. Don?€?t play it, just watch it on YouTube?€?. I didn?€?t listen. And I should have. [13/2018, p.86]'}, {'score': 10, 'text': 'The Quiet Man is a once-in-a-generation\r\nterrible game\r\nmired by technical and racial\r\nissues, pretentious ideas, and\r\npoor execution. It?€?s an ineffable\r\ngame that fails to land any\r\nof its posy punches. That it\r\nmerely exists now that is\r\nsomething to cry over.  [Issue157, p.97]'}, {'score': 15, 'text': 'A deaf protagonist. A quiet man. A thundering silence, as you sneak by this game unnoticed, leaving its abysmal contents to the vultures. '}]","[{'score': 3, 'text': 'This is by no means a good game its story relies on a second playthrough to be understood and its poorly optimized'}, {'score': 10, 'text': 'I am absolutely stunned about the hate this game gets. It?€?s short, it?€?s janky and it?€?s weird as all heck, for sure. But it?€?s a wild experiment. The combat is very simple, though takes a bit to fully understand and can be strangely satisfying. The story is perhaps not the best, but the way it?€?s told is fascinating, essentially requiring 2 playthroughs. The first run has only ambient sound and you can?€?t hear anything anyone says, so you have to piece together what you can infer. After the first round you are able to play it with normal sound and basically unlock the full story. So while that may sound like a hurtle to most, if you?€?re a weirdo like me, you live for this kind of bizarre this is what stuck to the wall type of game. So if you like weird games and aren?€?t completely turned off from literally playing a game that refuses to let you hear any dialog the first time through, give it a shot. If you are put off by that kind of artsy fartsy nonsense, then yeah, don?€?t bother. Still. I?€?m glad I gave it a chance.'}, {'score': 7, 'text': ""The game isn't that bad, I finished the campaning and now iam playing the 'answered'. Ain't gonna lie, I liked its a interesting game, it worthed the play time""}]"
Ara: History Untold,['PC'],2024/9/24,4X Strategy,Oxide Games,Xbox Game Studios,74,53,6.4,57,"[{'score': 60, 'text': 'Ara is at once too shallow and too deep, a 4X game where one of its crosses bears far more eight than the others. [Issue404, p.118]'}, {'score': 70, 'text': ""Strategy games needed new ideas, and Ara has a few of them if you're patient and play.""}, {'score': 83, 'text': 'If you?€?re expecting Ara: History Untold to be a new Civilization competitor, I think you?€?re looking at it all wrong. There?€?s aspects, sure, but this leans a lot more into economy, production, and politics. This feels like a game that?€?s made with passion, so I have every faith this will get better with time. Right now it?€?s still a bit clumsy in places, but if you take the time to learn it I believe you?€?ll find that this is a very fun title that stands on its own.'}]","[{'score': 6, 'text': ""It isn't that bad, but after having experienced Sid Mier's Civilization, there's no going back. Ara was bold, and I really appreciate that the copycat base design was taken into another direction, but the changed mechanics and different/new editions though unique more so dragged the game down. IMO, to me it is just a lower quality civ. I really love the art style that they adapted like Civ had for the old console games whatever it was called, but there just doesnt feel like much to do in this game vs Civ. It also seems a bit more complicated than civ as there are more resources and many many building types to shuffle, but this could very well be because Im a noob. Anyways I got bored after trying it for an hour, as again, if I play this type of game I rather just play Civ.""}, {'score': 9, 'text': 'This was my first time playing a 4X turn-based game, and what a great introduction to the genre! \n\nOf course, this game may not appeal to every type of player due to the amount of micromanagement it requires. The graphics are decent, the sound effects are cool, and most importantly, the gameplay is satisfying in itself. \n\nThere are a few things that need to be improved. The good news is that the game is still receiving updates and DLCs. Therefore, we can expect improvements to its UI, core mechanics, and the addition of new content, such as new maps, nation leaders, and more.\n\nYou will need patiencethis is not a 40-minute match kind of game. Build strategically, grow steadily, conquer fiercely. \n\nIf you enjoy strategy games, resource management, crafting, and technology research, among other mechanics, you?€?ll love it. \n\nGive it a try.'}, {'score': 4, 'text': ""4/10 because of the mid-to-end game mechanics. I wonder how this game got approved at Xbox. They didn't play it. Eventually, you reach the city cap in the early game. You cannot do much about it. There's no reason to conquer, to expand, to build, or to wage war anymore because you've reached the city cap already. Your 'empire' then stalls around the early Middle Ages. From there, you'll skip all turns until the end of the game. Also, the AI nations change their attitude for no reason, but once you are strong and advanced, you simply sign trade and/or research agreements -- and they do not matter anymore. I thought that Humankind was a low point in 4X gameplay, but I'm afraid that this game does not understand what the 4X stands for. And, oh, micromanagement hell. It gets worse the further into the future you go.""}]"
X Rebirth,['PC'],2013/11/15,Space Sim,Egosoft,"Deep Silver, Egosoft",33,24,3.2,1313,"[{'score': 40, 'text': ""Rebirth lacks inspiration, purpose, good ideas. It's riddled with bugs and, even when it seems to work, it manages to be dull. There isn't any true reason to play it.""}, {'score': 30, 'text': 'Instead of giving the series a new life the developers buried it and the patches are a classic case of too little, too late?€?. There?€?s a lot of things you can forgive this game but not the fact that it?€?s boring. [02/2014, p.58]'}, {'score': 39, 'text': ""X misses the spot. The occasional bit of spectacle can't save this boring, broken and charmless space simulation. [March 2014, p.60]""}]","[{'score': 8, 'text': 'That this game has still such a low rating is a tragedy. Yes it was buggy at the beginning and many of the design decisions are questionable. But they fixed a lot of the problems and with some mods this can be a very fine and interesting game. In some cases it even outclasses X4. Especially when it comes to sector-design.'}, {'score': 9, 'text': 'On release this game took a review battering but playing after a number of big patches have been released and I can say this game is a space sim gem and does not deserve the low really low rating it currently has here.'}, {'score': 3, 'text': 'The game was released as unfinished half product, overly complicated, super demanding and buggy, it got forgotten as fast as it deserved. I would rather go all the way back and play X2 again.'}]"
Baldur's Gate 3,"['PC', 'PlayStation 5', 'Xbox Series X']",2023/8/3,Western RPG,Larian Studios Games,Larian Studios Games,96,112,9.2,19955,"[{'score': 90, 'text': ""With a vast world to explore with varied stories and secrets to discover, Baldur's Gate 3 definitely shines. The cast is largely appealing and voice acting is top notch all-around, even if the storytelling and line delivery is varied in its pace. Character progression is somewhat weak in the opening levels but has a strong foundation for a great buildcraft experience, even if it lacks some on the fly experimentation seen in Larian's past efforts. Despite some performance woes in the later parts of the game and controller hangups, this is a journey worth taking for fans of Dungeons  Dragons or those new to the role playing field.""}, {'score': 100, 'text': ""Larian Studios, the creators of the latest installment, have gone to great lengths to make sure they didn't disgrace any of the franchise's building blocks. The love and care is evident in Baldur's Gate 3, though needless to pretend, there aren't a few bricks crumbling here and there in this monument. It's far from a perfect title, but on the whole Baldur's Gate 3 is a brilliant computer RPG that is undoubtedly not to be overlooked. [Issue329]""}, {'score': 97, 'text': ""Baldur's Gate III is an amazing game. While the length can be intimidating and the lore vast - that makes it all the more compelling and the game could easily become one of the biggest time sinks for gamers since the likes of Elder Scrolls V: Skyrim or Elden Ring released. If you're a fan of Larian Studios' previous work, DND, strategy RPGs, or any of the above, BG3 is almost certainly the game for you, and comes highly recommended.""}]","[{'score': 10, 'text': 'Dieses Spiel fesselt von den ersten Minuten an. Fr??hliche und manchmal unvorhersehbare Handlung. Es gibt eine echte Wahl, manchmal habe ich mehrmals speziell neu gestartet, um denselben Moment auf unterschiedliche Weise durchzugehen. Dies ist ein Meisterwerk. Auch die Optimierung ist groartig'}, {'score': 10, 'text': 'In my thirty years of gaming, I have only a very few times experienced a game so mesmerizing, deep and thoughtful as Baldurs Gate 3. This is a loveletter to the RPG-genre and an alltime masterpiece in videogaming. So happy I got to experience this and looking forward to future runs.'}, {'score': 10, 'text': 'Despite featuring a world based on Dungeons  Dragonsa setting unfamiliar to manyand employing a turn-based, probability-driven combat system that can feel unconventional, the game achieves a level of polish that transcends genre preferences. From its massive volume and compelling story to its outstanding OST and finely tuned balance, nearly every aspect is executed flawlessly. The level design, which maximizes player freedom while maintaining a natural and cohesive progression throughout the experience, is equally remarkable.'}]"
GRIP: Combat Racing,"['PC', 'Nintendo Switch', 'Xbox One', 'PlayStation 4']",2018/11/6,Auto Racing,Caged Element Inc.,Wired Productions,71,20,5.3,26,"[{'score': 70, 'text': 'Infernally fast vehicles racing and blowing each other up on numerous, well-designed tracks where distinction between floor and ceiling is often purely formal. If you still remember Rollcage fondly, you will probably turn a blind eye to average visuals, annoying music and some AI problems to simply enjoy the sensation of speed. [01/2019, p.79]'}, {'score': 75, 'text': 'Minor issues aside, Grip: Combat Racing is a great experience for both veterans of arcade combat racers as well as those who are willing to learn the genre. The initial learning pains and massive difficulty spikes toward the end of the game may turn away newcomers, and the catch-up mechanics and sometimes questionable physics may dissuade veteran players. For all others, though, Grip is a wild ride that offers fantastic tracks that are exhilarating to race on at lightning-fast speeds.'}, {'score': 55, 'text': 'All in all, I like GRIP more as a concept than I do in practice. Rough and tumble racing is fine, but the combat is shaky and it?€?s far too easy to accidentally clip a piece of scenery and get launched into race-losing situations. It?€?s also downright strange that a game which promotes driving like mad also requires navigating each track like I?€?m walking on eggshells. GRIP should [be] bursting free of traditional racing constraints, but instead adheres to them more often than the ceilings.'}]","[{'score': 4, 'text': 'Il s?€?agit d?€?un jeu de course et de combat ?? la fois, un machin ?? la Wipeout mais avec des grosses roues de tracteur ! on peut rouler sur les murs et au plafond si le haut-le-coeur vous en dit Et pour aller vite, ??a va vite, tr??s vite c?€?est carr??ment furieux et souvent grisant.Optimis??s pour la One X, les graphismes sont tr??s jolis mais (il y a toujours un mais?€?) les ralentissements ou plut??t les ??-coups soudains, certes sporadiques, sont trop nombreux pour que le bilan technique soit r??ellement convaincant, dommage ! Les effets sonores sont tout ?? fait r??ussis par contre et conformes ?? ce qu?€?on attend d?€?un gros jeu bourrin de cet acabit mais (encore un mais?€?, merde) la musique techno-??lectro s?€?apparente devantage ?? du bruit ou une quelconque cacophonie qu?€??? de la musique **** campagne?€? a beau ??tre tr??s longue, le nombre de circuits diff??rents n?€?en reste pas moins limit?? ; puis la difficult?? s?€?accroissant, les concurrents sont plus agressifs, la vitesse augmente encore et le jeu commence ?? caler. Ou plut??t son int??r??t en tout cas ??a devient en effet assez injouable tant il faut des r??flexes surhumains (ou de la chance) pour coller au train des fous furieux : la moindre erreur vous rel??gue en queue de peloton pour le restant de la course, ce qui inclut les collisions qui vous envoient valdinguer hors du circuit.A vouloir donc trop en faire, trop ??pater la galerie, Grip est donc sorti de la route un peu trop vite malgr?? son concept s??duisant de prime abord. Un jeu qui manque de rigueur et a p??ch?? par orgueil et manque de clairvoyance, h??las. Sur Series X, les ralentissements ont disparu (encore heureux) mais la difficult?? et la confusion demeurent c?€?est un jeu ?? jouer pas trop longtemps, non, non. Sinon, on commence ?? s?€???nerver un petit peu quand m??me. Mais quelle vitesse en tout cas !'}, {'score': 5, 'text': ""If you like futuristic racing games I understand that there isn't a lot of competition about, but grip is not a 9 or 10/10.\r\n\r\nIf you are expecting anything like wipeout then you will be very disappointed. The sense of speed isn't as good, the vehicle and track design isn't as good and the weapons are not as good. A much better comparison would be one of the 3D sonic games - Grip reminds me much more of the fast sections in Sonic Heroes than anything else.\r\n\r\nThe weapons all seem to take ages to fire, I would guess about a second after pressing fire which is definitely not the case with the old futuristic racing games. The gravity-defying seems to amount to the physics not making a lot of sense and hitting a divot in the track can launch you into the sky and off the map straight into last place, even though the vehicles are supposed to have so much downforce they can drive up walls and ceilings?\r\n\r\nThe tracks are all rainbow road style affairs and frequently you will have no idea which way to even go in - like the worst parts of the twisted metal race events - and go straight to last place until you cruise around the track a couple of times at snails pace to find where to go. The first few times around each track you are just a passenger, hoping the game points you the right way (sonic adventure/heroes etc. style).\r\n\r\nThere aren't many vehicles and those that there are remained locked away until you grind out XP to unlock them. The logo is great and the graphics and music look and sound modern and quality but I just cannot get engaged with the game after hours of trying.\r\n\r\nGrip is better than trailblazers due to the collisions between vehicles in trailblazers making it unplayable, but grip isn't better that the wipeout rerelease in any way.""}, {'score': 9, 'text': ""Think extreme G 1, 2 3 , twisted metal , F Zero, Rush 2049 etc. ...do you miss those games?!? Then buy this one. indie games **** and shooters are stale nowadays but you peeps buy that instead of a worthwhile fresh experience in a dieing genre that could go extinct  in the face of the mediocre game scene it is today. Buy just because you don't want Vanilla  to be the only flavor.""}]"
